"filename", "language", "pip requirements", "Python", "TypeScript", "Ignore", "Docker", "TypeScript JSX", "SCSS", "CSS", "JSON", "HTML", "JSON with Comments", "Properties", "comment", "blank", "total"
"d:\pd22\only-frontend\src\components\SearchButton\SearchButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\pd22\only-frontend\src\components\Tag\Tag.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\pd22\only-frontend\src\components\Tag\Tag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\pd22\only-frontend\src\constants\constants.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\pd22\only-frontend\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 295, 0, 0, 0, 0, 0, 0, 20, 35, 350
"d:\pd22\only-frontend\src\hooks\useScrollToTop.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\pd22\only-frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"d:\pd22\only-frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\pd22\only-frontend\src\pages\ArticlePage\ArticlePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 35, 226
"d:\pd22\only-frontend\src\pages\ArticlePage\ArticlePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 22, 227
"d:\pd22\only-frontend\src\pages\Articles\ArticleStyles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 22, 128
"d:\pd22\only-frontend\src\pages\Articles\ChatGPT\ChatGPT.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 7, 57
"d:\pd22\only-frontend\src\pages\Articles\Deepl\DeeplArticle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 7, 116
"d:\pd22\only-frontend\src\pages\Articles\GigaChat\GigaChat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"d:\pd22\only-frontend\src\pages\Articles\Palette\PaletteArticle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 8, 62
"d:\pd22\only-frontend\src\pages\Articles\Perceptron\Perceptron.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 7, 148
"d:\pd22\only-frontend\src\pages\Articles\YandexGPT\YandexGPT.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 7, 57
"d:\pd22\only-frontend\src\pages\Auth\ForgotPasswordPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\pd22\only-frontend\src\pages\Auth\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
